timestamp,open,high,low,close,volume
2020-01-01,7192.9,7255.0,7176.7,7202.0,1661.52
2020-01-02,7202.0,7202.9,6912.2,6965.3,3716.91
2020-01-03,6965.4,7410.4,6863.6,7340.0,7585.4
2020-01-04,7340.1,7398.0,7275.9,7351.7,2499.51
2020-01-05,7351.8,7496.2,7306.9,7359.4,3947.52
2020-01-06,7359.4,7798.1,7347.9,7756.3,5406.13
2020-01-07,7756.4,8203.7,7727.1,8145.0,9821.55
2020-01-08,8144.9,8473.0,7870.8,8053.0,15303.11
2020-01-09,8053.0,8053.0,7752.0,7817.7,9958.92
2020-01-10,7815.3,8201.3,7669.0,8200.8,12407.31
2020-01-11,8200.8,8288.0,8006.1,8023.7,9300.45
2020-01-12,8023.6,8195.0,7956.5,8180.0,5479.45
2020-01-13,8179.9,8187.8,8056.4,8106.0,27364.13
2020-01-14,8106.5,8895.6,8106.4,8828.1,149406.73
2020-01-15,8825.8,8919.9,8572.7,8817.7,194431.9
2020-01-16,8816.5,8854.7,8598.9,8723.6,91578.92
2020-01-17,8723.7,9041.0,8680.0,8916.6,111191.2
2020-01-18,8916.5,8990.7,8823.0,8921.6,64060.16
2020-01-19,8921.6,9193.5,8450.0,8700.0,75079.8
2020-01-20,8697.5,8743.0,8531.1,8645.0,14958.06
2020-01-21,8645.0,8789.0,8485.0,8729.8,23736.28
2020-01-22,8730.9,8812.3,8590.0,8686.4,22011.48
2020-01-23,8685.9,8689.9,8315.3,8408.8,38482.88
2020-01-24,8408.8,8520.0,8240.0,8445.2,29311.77
2020-01-25,8442.5,8449.7,8282.0,8340.6,17517.85
2020-01-26,8341.7,8615.6,8295.0,8614.9,20651.94
2020-01-27,8616.7,9008.0,8572.9,8910.3,34896.6
2020-01-28,8910.3,9432.3,8906.3,9385.0,43764.33
2020-01-29,9383.6,9476.0,9250.0,9308.7,33434.76
2020-01-30,9308.6,9588.0,9216.0,9520.0,32189.93
2020-01-31,9520.0,9535.2,9220.2,9356.0,23986.04
2020-02-01,9356.0,9465.3,9305.0,9385.9,14982.02
2020-02-02,9385.9,9476.3,9165.0,9342.4,20987.02
2020-02-03,9342.7,9632.7,9251.5,9304.3,22573.08
2020-02-04,9302.4,9365.0,9110.0,9197.9,21304.17
2020-02-05,9197.8,9790.0,9184.2,9626.5,27785.56
2020-02-06,9627.3,9880.0,9550.1,9780.0,28206.42
2020-02-07,9780.9,9890.0,9742.0,9819.5,18504.82
2020-02-08,9818.5,9950.0,9680.0,9898.1,14306.37
2020-02-09,9898.0,10188.0,9885.8,10168.1,18181.92
2020-02-10,10168.1,10215.8,9750.0,9858.1,23836.92
2020-02-11,9858.2,10430.9,9735.0,10221.0,31974.0
2020-02-12,10221.0,10498.9,10221.0,10331.7,28216.27
